read,delay,Average,Max,Min,Std. Dev,Count > 16.66,Count <= 10
1,7.5,8.001405,19.14,3.48,2.305097788,8,1538
2,5.24,,,,,,
3,10.08,,,,,,
4,8.16,,,,,,
5,8.55,,,,,,
6,5.97,,,,,,
7,10.91,,,,,,
8,8.06,,,,,,
9,4.91,,,,,,
10,10.64,,,,,,
11,7.89,,,,,,
12,4.82,,,,,,
13,8.86,,,,,,
14,5.94,,,,,,
15,11.52,,,,,,
16,9.13,,,,,,
17,6.44,,,,,,
18,11.39,,,,,,
19,8.22,,,,,,
20,5.49,,,,,,
21,11.19,,,,,,
22,8.25,,,,,,
23,5.19,,,,,,
24,9.62,,,,,,
25,7.12,,,,,,
26,4.75,,,,,,
27,10.02,,,,,,
28,7.69,,,,,,
29,4.93,,,,,,
30,8.94,,,,,,
31,6.66,,,,,,
32,4.2,,,,,,
33,9.4,,,,,,
34,6.85,,,,,,
35,4.56,,,,,,
36,8.72,,,,,,
37,6.02,,,,,,
38,3.56,,,,,,
39,8.76,,,,,,
40,5.9,,,,,,
41,9.93,,,,,,
42,7.56,,,,,,
43,4.78,,,,,,
44,9.94,,,,,,
45,6.78,,,,,,
46,11.12,,,,,,
47,8.52,,,,,,
48,6.04,,,,,,
49,11.52,,,,,,
50,8.54,,,,,,
51,6.12,,,,,,
52,11.06,,,,,,
53,8.64,,,,,,
54,6.1,,,,,,
55,3.93,,,,,,
56,9.78,,,,,,
57,6.9,,,,,,
58,10.96,,,,,,
59,8.06,,,,,,
60,5.38,,,,,,
61,11.28,,,,,,
62,8.85,,,,,,
63,6.12,,,,,,
64,10.18,,,,,,
65,7.28,,,,,,
66,5.44,,,,,,
67,9.84,,,,,,
68,7.7,,,,,,
69,4.65,,,,,,
70,8.78,,,,,,
71,6.61,,,,,,
72,11.18,,,,,,
73,8.74,,,,,,
74,5.6,,,,,,
75,10.26,,,,,,
76,8.15,,,,,,
77,5.27,,,,,,
78,10.27,,,,,,
79,7.18,,,,,,
80,11.33,,,,,,
81,10.07,,,,,,
82,7.32,,,,,,
83,4.72,,,,,,
84,9.03,,,,,,
85,6.76,,,,,,
86,4.46,,,,,,
87,9.78,,,,,,
88,7.09,,,,,,
89,4.38,,,,,,
90,9.14,,,,,,
91,6.86,,,,,,
92,4.26,,,,,,
93,9.79,,,,,,
